time,temperature
2026-06-02T00:00,12.3
2026-06-02T01:00,11.7
2026-06-02T02:00,11.2
2026-06-02T03:00,10.8
2026-06-02T04:00,11.6
2026-06-02T05:00,14.1
2026-06-02T06:00,16.2
2026-06-02T07:00,18.0
2026-06-02T08:00,19.6
2026-06-02T09:00,21.1
2026-06-02T10:00,22.6
2026-06-02T11:00,24.1
2026-06-02T12:00,24.8
2026-06-02T13:00,25.1
2026-06-02T14:00,25.3
2026-06-02T15:00,25.3
2026-06-02T16:00,25.1
2026-06-02T17:00,24.4
2026-06-02T18:00,23.1
2026-06-02T19:00,21.0
2026-06-02T20:00,19.2
2026-06-02T21:00,17.7
2026-06-02T22:00,16.5
2026-06-02T23:00,15.9
2026-06-03T00:00,15.7
2026-06-03T01:00,15.3
2026-06-03T02:00,15.2
2026-06-03T03:00,15.5
2026-06-03T04:00,16.1
2026-06-03T05:00,16.1
2026-06-03T06:00,17.6
2026-06-03T07:00,19.0
2026-06-03T08:00,18.6
2026-06-03T09:00,19.8
2026-06-03T10:00,21.0
2026-06-03T11:00,18.4
2026-06-03T12:00,18.3
2026-06-03T13:00,18.2
2026-06-03T14:00,17.0
2026-06-03T15:00,16.3
2026-06-03T16:00,15.2
2026-06-03T17:00,14.9
2026-06-03T18:00,15.0
2026-06-03T19:00,15.0
2026-06-03T20:00,15.0
2026-06-03T21:00,14.9
2026-06-03T22:00,14.6
2026-06-03T23:00,14.3
2026-06-04T00:00,14.3
2026-06-04T01:00,14.0
2026-06-04T02:00,13.3
2026-06-04T03:00,12.8
2026-06-04T04:00,13.2
2026-06-04T05:00,14.2
2026-06-04T06:00,15.6
2026-06-04T07:00,17.5
2026-06-04T08:00,19.1
2026-06-04T09:00,20.7
2026-06-04T10:00,21.9
2026-06-04T11:00,23.8
2026-06-04T12:00,24.5
2026-06-04T13:00,24.8
2026-06-04T14:00,24.6
2026-06-04T15:00,24.2
2026-06-04T16:00,23.9
2026-06-04T17:00,23.3
2026-06-04T18:00,21.8
2026-06-04T19:00,19.2
2026-06-04T20:00,17.2
2026-06-04T21:00,15.8
2026-06-04T22:00,14.9
2026-06-04T23:00,14.1
2026-06-05T00:00,13.5
2026-06-05T01:00,12.9
2026-06-05T02:00,12.7
2026-06-05T03:00,12.4
2026-06-05T04:00,14.1
2026-06-05T05:00,16.9
2026-06-05T06:00,19.4
2026-06-05T07:00,20.8
2026-06-05T08:00,21.9
2026-06-05T09:00,21.6
2026-06-05T10:00,21.3
2026-06-05T11:00,19.8
2026-06-05T12:00,17.8
2026-06-05T13:00,16.3
2026-06-05T14:00,15.5
2026-06-05T15:00,15.2
2026-06-05T16:00,15.7
2026-06-05T17:00,15.7
2026-06-05T18:00,15.4
2026-06-05T19:00,13.8
2026-06-05T20:00,13.4
2026-06-05T21:00,12.6
2026-06-05T22:00,11.9
2026-06-05T23:00,11.2
2026-06-06T00:00,10.5
2026-06-06T01:00,9.9
2026-06-06T02:00,9.4
2026-06-06T03:00,9.6
2026-06-06T04:00,11.0
2026-06-06T05:00,13.0
2026-06-06T06:00,15.1
2026-06-06T07:00,17.2
2026-06-06T08:00,19.3
2026-06-06T09:00,21.0
2026-06-06T10:00,22.3
2026-06-06T11:00,23.2
2026-06-06T12:00,23.8
2026-06-06T13:00,24.1
2026-06-06T14:00,24.2
2026-06-06T15:00,23.8
2026-06-06T16:00,22.9
2026-06-06T17:00,21.6
2026-06-06T18:00,20.3
2026-06-06T19:00,18.9
2026-06-06T20:00,17.5
2026-06-06T21:00,16.2
2026-06-06T22:00,15.2
2026-06-06T23:00,14.4
2026-06-07T00:00,13.7
2026-06-07T01:00,12.8
2026-06-07T02:00,12.1
2026-06-07T03:00,12.4
2026-06-07T04:00,14.5
2026-06-07T05:00,17.6
2026-06-07T06:00,20.1
2026-06-07T07:00,21.5
2026-06-07T08:00,22.4
2026-06-07T09:00,23.1
2026-06-07T10:00,23.7
2026-06-07T11:00,24.1
2026-06-07T12:00,24.4
2026-06-07T13:00,24.6
2026-06-07T14:00,24.8
2026-06-07T15:00,24.5
2026-06-07T16:00,23.7
2026-06-07T17:00,22.4
2026-06-07T18:00,21.2
2026-06-07T19:00,20.2
2026-06-07T20:00,19.3
2026-06-07T21:00,18.5
2026-06-07T22:00,17.7
2026-06-07T23:00,17.0
2026-06-08T00:00,16.3
2026-06-08T01:00,15.5
2026-06-08T02:00,14.8
2026-06-08T03:00,14.8
2026-06-08T04:00,16.3
2026-06-08T05:00,18.5
2026-06-08T06:00,20.2
2026-06-08T07:00,17.8
2026-06-08T08:00,19.3
2026-06-08T09:00,20.9
2026-06-08T10:00,22.4
2026-06-08T11:00,23.6
2026-06-08T12:00,24.2
2026-06-08T13:00,24.2
2026-06-08T14:00,23.7
2026-06-08T15:00,22.9
2026-06-08T16:00,21.9
2026-06-08T17:00,20.9
2026-06-08T18:00,19.9
2026-06-08T19:00,18.8
2026-06-08T20:00,17.4
2026-06-08T21:00,15.9
2026-06-08T22:00,14.6
2026-06-08T23:00,13.7
