time,temperature
2026-06-02T00:00,18.0
2026-06-02T01:00,17.4
2026-06-02T02:00,17.2
2026-06-02T03:00,17.2
2026-06-02T04:00,17.0
2026-06-02T05:00,18.1
2026-06-02T06:00,20.2
2026-06-02T07:00,22.5
2026-06-02T08:00,23.2
2026-06-02T09:00,24.1
2026-06-02T10:00,25.1
2026-06-02T11:00,26.1
2026-06-02T12:00,26.6
2026-06-02T13:00,26.5
2026-06-02T14:00,25.7
2026-06-02T15:00,25.7
2026-06-02T16:00,25.3
2026-06-02T17:00,24.1
2026-06-02T18:00,22.9
2026-06-02T19:00,21.6
2026-06-02T20:00,21.2
2026-06-02T21:00,20.8
2026-06-02T22:00,20.8
2026-06-02T23:00,20.9
2026-06-03T00:00,20.8
2026-06-03T01:00,20.5
2026-06-03T02:00,20.2
2026-06-03T03:00,19.2
2026-06-03T04:00,18.7
2026-06-03T05:00,18.4
2026-06-03T06:00,18.4
2026-06-03T07:00,18.3
2026-06-03T08:00,18.6
2026-06-03T09:00,18.4
2026-06-03T10:00,20.3
2026-06-03T11:00,22.9
2026-06-03T12:00,22.8
2026-06-03T13:00,23.1
2026-06-03T14:00,21.5
2026-06-03T15:00,19.7
2026-06-03T16:00,18.6
2026-06-03T17:00,19.4
2026-06-03T18:00,19.9
2026-06-03T19:00,19.7
2026-06-03T20:00,19.0
2026-06-03T21:00,18.1
2026-06-03T22:00,18.0
2026-06-03T23:00,18.0
2026-06-04T00:00,18.0
2026-06-04T01:00,16.5
2026-06-04T02:00,15.9
2026-06-04T03:00,15.7
2026-06-04T04:00,15.8
2026-06-04T05:00,16.7
2026-06-04T06:00,19.2
2026-06-04T07:00,20.5
2026-06-04T08:00,21.9
2026-06-04T09:00,22.7
2026-06-04T10:00,23.3
2026-06-04T11:00,23.6
2026-06-04T12:00,24.1
2026-06-04T13:00,24.8
2026-06-04T14:00,25.0
2026-06-04T15:00,24.6
2026-06-04T16:00,24.5
2026-06-04T17:00,24.0
2026-06-04T18:00,23.3
2026-06-04T19:00,22.4
2026-06-04T20:00,21.5
2026-06-04T21:00,21.1
2026-06-04T22:00,20.9
2026-06-04T23:00,21.0
2026-06-05T00:00,20.6
2026-06-05T01:00,20.4
2026-06-05T02:00,20.3
2026-06-05T03:00,20.4
2026-06-05T04:00,20.5
2026-06-05T05:00,20.8
2026-06-05T06:00,20.9
2026-06-05T07:00,21.1
2026-06-05T08:00,20.8
2026-06-05T09:00,20.6
2026-06-05T10:00,21.2
2026-06-05T11:00,21.7
2026-06-05T12:00,22.5
2026-06-05T13:00,22.5
2026-06-05T14:00,22.1
2026-06-05T15:00,22.0
2026-06-05T16:00,22.2
2026-06-05T17:00,22.5
2026-06-05T18:00,22.5
2026-06-05T19:00,21.9
2026-06-05T20:00,20.9
2026-06-05T21:00,20.1
2026-06-05T22:00,19.8
2026-06-05T23:00,19.5
2026-06-06T00:00,19.4
2026-06-06T01:00,19.2
2026-06-06T02:00,19.2
2026-06-06T03:00,19.5
2026-06-06T04:00,19.9
2026-06-06T05:00,20.4
2026-06-06T06:00,21.1
2026-06-06T07:00,22.0
2026-06-06T08:00,23.1
2026-06-06T09:00,24.0
2026-06-06T10:00,24.5
2026-06-06T11:00,24.8
2026-06-06T12:00,24.9
2026-06-06T13:00,24.9
2026-06-06T14:00,24.6
2026-06-06T15:00,24.5
2026-06-06T16:00,24.2
2026-06-06T17:00,24.0
2026-06-06T18:00,23.6
2026-06-06T19:00,23.0
2026-06-06T20:00,22.2
2026-06-06T21:00,21.6
2026-06-06T22:00,21.1
2026-06-06T23:00,20.9
2026-06-07T00:00,20.6
2026-06-07T01:00,20.4
2026-06-07T02:00,20.2
2026-06-07T03:00,20.4
2026-06-07T04:00,21.0
2026-06-07T05:00,22.1
2026-06-07T06:00,23.0
2026-06-07T07:00,22.6
2026-06-07T08:00,23.5
2026-06-07T09:00,24.3
2026-06-07T10:00,24.9
2026-06-07T11:00,25.2
2026-06-07T12:00,25.5
2026-06-07T13:00,25.7
2026-06-07T14:00,25.8
2026-06-07T15:00,25.8
2026-06-07T16:00,25.6
2026-06-07T17:00,25.3
2026-06-07T18:00,24.7
2026-06-07T19:00,23.7
2026-06-07T20:00,22.5
2026-06-07T21:00,21.4
2026-06-07T22:00,20.7
2026-06-07T23:00,20.1
2026-06-08T00:00,19.7
2026-06-08T01:00,19.3
2026-06-08T02:00,19.0
2026-06-08T03:00,19.2
2026-06-08T04:00,20.2
2026-06-08T05:00,21.7
2026-06-08T06:00,23.2
2026-06-08T07:00,24.6
2026-06-08T08:00,26.0
2026-06-08T09:00,27.0
2026-06-08T10:00,27.6
2026-06-08T11:00,27.9
2026-06-08T12:00,28.0
2026-06-08T13:00,28.0
2026-06-08T14:00,27.9
2026-06-08T15:00,27.6
2026-06-08T16:00,27.2
2026-06-08T17:00,26.7
2026-06-08T18:00,26.0
2026-06-08T19:00,24.8
2026-06-08T20:00,23.5
2026-06-08T21:00,22.3
2026-06-08T22:00,21.7
2026-06-08T23:00,21.2
